,participant_id,condition,imageid,headline,before_AI_Real_Fake,confidence_rating_before_AI,with_AI_Real_Fake,confidence_rating_with_AI,ground_truth_with_AI,with_AI_seen_before,after_AI_ground_truth,after_AI_Real_Fake,confidence_rating_after_AI
34,5be8dab5d153f500019ab320,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,53,REAL,53,Real,No,Real,Real,95
35,5be8dab5d153f500019ab320,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Real,Fake,100
36,5bead56b5324b10001c2551c,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,90,FAKE,90,Fake,Yes,Fake,Fake,81
37,5bead56b5324b10001c2551c,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,Yes,Fake,Fake,81
38,5bead56b5324b10001c2551c,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,100,REAL,100,Fake,Yes,Real,Real,61
39,5bead56b5324b10001c2551c,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,89,REAL,89,Real,Yes,Real,Fake,91
40,5c5198da659655000168955d,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",FAKE,93,FAKE,93,Real,No,Fake,Fake,81
41,5c5198da659655000168955d,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,88,FAKE,88,Fake,No,Fake,Fake,100
42,5c5198da659655000168955d,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,85,REAL,85,Real,No,Real,Real,85
43,5c5198da659655000168955d,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,95,FAKE,95,Fake,No,Real,Fake,87
44,5ccc60abe787e000167f8143,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,90,REAL,90,Fake,Yes,Fake,Fake,92
45,5ccc60abe787e000167f8143,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,91,FAKE,91,Fake,No,Fake,Real,62
46,5ccc60abe787e000167f8143,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,90,REAL,90,Real,No,Real,Real,100
47,5ccc60abe787e000167f8143,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,98,REAL,98,Real,No,Real,Real,60
48,5cd08e2ff59e0a0013563602,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Real,50
49,5cd08e2ff59e0a0013563602,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,Yes,Fake,Fake,60
50,5cd08e2ff59e0a0013563602,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,Yes,Real,Real,51
51,5cd08e2ff59e0a0013563602,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Real,Fake,71
52,5d0d16d991270800010b7dd7,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,97,REAL,97,Real,No,Fake,Fake,89
53,5d0d16d991270800010b7dd7,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,95,FAKE,95,Fake,No,Fake,Fake,82
54,5d0d16d991270800010b7dd7,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,87,FAKE,87,Fake,Yes,Real,Fake,85
55,5d0d16d991270800010b7dd7,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,84,REAL,84,Real,No,Real,Fake,99
56,5d849ee0a954540019f513dd,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,70,REAL,70,Real,No,Fake,Fake,68
57,5d849ee0a954540019f513dd,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,88,FAKE,88,Fake,No,Fake,Real,73
58,5d849ee0a954540019f513dd,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,REAL,80,REAL,80,Fake,No,Real,Fake,52
59,5d849ee0a954540019f513dd,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,84,REAL,84,Real,No,Real,Real,43
60,5d8b66f5d189bd001a378273,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Fake,Fake,100
61,5d8b66f5d189bd001a378273,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,100
62,5d8b66f5d189bd001a378273,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Real,Real,70
63,5d8b66f5d189bd001a378273,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Real,Real,100
64,5dee265613911c4bb3c0ac7e,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,90
65,5dee265613911c4bb3c0ac7e,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Fake,Real,50
66,5dee265613911c4bb3c0ac7e,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,100,FAKE,100,Fake,No,Real,Real,100
67,5dee265613911c4bb3c0ac7e,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Fake,30
68,5e03f8517f08edece67a3137,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,73
69,5e03f8517f08edece67a3137,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,88,REAL,88,Real,No,Fake,Real,68
70,5e03f8517f08edece67a3137,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,86,REAL,86,Fake,No,Real,Real,80
71,5e03f8517f08edece67a3137,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Real,60
72,5e70bd5480f43a0009625d4c,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Real,100
73,5e70bd5480f43a0009625d4c,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,100,REAL,100,Fake,Yes,Fake,Real,58
74,5e70bd5480f43a0009625d4c,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,97,REAL,97,Real,No,Real,Real,71
75,5e70bd5480f43a0009625d4c,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Real,Fake,97
76,5e9ffa9ee172201b04f1a4c6,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,99,FAKE,99,Fake,No,Fake,Fake,92
77,5e9ffa9ee172201b04f1a4c6,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,No,Fake,Real,51
78,5e9ffa9ee172201b04f1a4c6,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,99,FAKE,99,Fake,No,Real,Real,92
79,5e9ffa9ee172201b04f1a4c6,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,99,REAL,99,Real,No,Real,Fake,93
80,5f734ab7a0857803755e97b3,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,99,REAL,99,Real,Yes,Fake,Fake,94
81,5f734ab7a0857803755e97b3,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Real,31
82,5f734ab7a0857803755e97b3,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,99,REAL,99,Real,No,Real,Real,50
83,5f734ab7a0857803755e97b3,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,75,FAKE,75,Fake,No,Real,Fake,71
84,5f91a6bf59acc003a749718a,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,62
85,5f91a6bf59acc003a749718a,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,99,FAKE,99,Fake,Yes,Fake,Real,71
86,5f91a6bf59acc003a749718a,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,Yes,Real,Real,84
87,5f91a6bf59acc003a749718a,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Real,Fake,66
88,5ff454f2f0b5ed607169fba6,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Fake,Fake,100
89,5ff454f2f0b5ed607169fba6,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,99,REAL,99,Fake,No,Fake,Fake,90
90,5ff454f2f0b5ed607169fba6,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,REAL,100,REAL,100,Fake,No,Real,Real,90
91,5ff454f2f0b5ed607169fba6,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Fake,100
92,602fcd044ad77ad42ee9a829,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,84
93,602fcd044ad77ad42ee9a829,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,94,REAL,94,Real,No,Fake,Fake,61
94,602fcd044ad77ad42ee9a829,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Real,Fake,50
95,602fcd044ad77ad42ee9a829,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,No,Real,Fake,72
96,6099dff06308cc570a428098,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",FAKE,73,FAKE,73,Real,No,Fake,Fake,83
97,6099dff06308cc570a428098,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,92,REAL,92,Real,No,Fake,Real,62
98,6099dff06308cc570a428098,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,65,FAKE,65,Fake,No,Real,Real,92
99,6099dff06308cc570a428098,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,58,REAL,58,Fake,No,Real,Fake,40
100,611572b4abe6a1bfe26001a3,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,65,FAKE,65,Fake,No,Fake,Fake,90
101,611572b4abe6a1bfe26001a3,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Fake,Fake,100
102,611572b4abe6a1bfe26001a3,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Real,Real,80
103,611572b4abe6a1bfe26001a3,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,No,Real,Real,80
104,6117efedb574017076d5b499,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,87,REAL,87,Real,No,Fake,Fake,87
105,6117efedb574017076d5b499,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,89,FAKE,89,Fake,No,Fake,Fake,96
106,6117efedb574017076d5b499,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,84,FAKE,84,Fake,No,Real,Real,83
107,6117efedb574017076d5b499,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,93,REAL,93,Real,No,Real,Real,88
108,6151e69a392433707e7a9dfb,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,Yes,Fake,Fake,100
109,6151e69a392433707e7a9dfb,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,100,FAKE,100,Fake,No,Fake,Fake,90
110,6151e69a392433707e7a9dfb,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Real,Fake,82
111,6151e69a392433707e7a9dfb,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,90,REAL,90,Real,No,Real,Fake,93
112,616964223dcbf0aa539dbae2,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,96
113,616964223dcbf0aa539dbae2,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Fake,Real,68
114,616964223dcbf0aa539dbae2,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,100,FAKE,100,Fake,No,Real,Real,91
115,616964223dcbf0aa539dbae2,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Fake,51
116,63474e67a5fd298c6103c409,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,64,REAL,64,Real,No,Fake,Fake,69
117,63474e67a5fd298c6103c409,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,71,FAKE,71,Fake,No,Fake,Fake,32
118,63474e67a5fd298c6103c409,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,60,FAKE,60,Fake,No,Real,Real,43
119,63474e67a5fd298c6103c409,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,79,REAL,79,Real,No,Real,Real,10
120,63d84be2c9a21026d442e728,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,100,FAKE,100,Fake,No,Fake,Fake,80
121,63d84be2c9a21026d442e728,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,40
122,63d84be2c9a21026d442e728,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",FAKE,60,FAKE,60,Real,No,Real,Real,100
123,63d84be2c9a21026d442e728,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Fake,40
124,6409110921de1c850a685bf6,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Fake,Fake,98
125,6409110921de1c850a685bf6,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,51,FAKE,51,Fake,No,Fake,Fake,100
126,6409110921de1c850a685bf6,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,99,REAL,99,Fake,No,Real,Real,52
127,6409110921de1c850a685bf6,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,No,Real,Fake,91
128,6410e0ba81f88046afa861ca,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,85,REAL,85,Real,No,Fake,Fake,65
129,6410e0ba81f88046afa861ca,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,58,REAL,58,Real,No,Fake,Fake,77
130,6410e0ba81f88046afa861ca,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,62,FAKE,62,Fake,No,Real,Fake,59
131,6410e0ba81f88046afa861ca,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,95,FAKE,95,Fake,No,Real,Fake,54
132,647869e6f69318bacc341d53,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,72,REAL,72,Real,No,Fake,Fake,78
133,647869e6f69318bacc341d53,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,33,REAL,33,Fake,No,Fake,Real,50
134,647869e6f69318bacc341d53,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,58,REAL,58,Real,No,Real,Real,63
135,647869e6f69318bacc341d53,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,85,FAKE,85,Fake,No,Real,Fake,52
136,65612a45629022b7c905ef6c,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Fake,Fake,50
137,65612a45629022b7c905ef6c,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,50
138,65612a45629022b7c905ef6c,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Fake,50
139,65612a45629022b7c905ef6c,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,100,FAKE,100,Fake,No,Real,Real,50
