,participant_id,condition,imageid,headline,before_AI_Real_Fake,confidence_rating_before_AI,with_AI_Real_Fake,confidence_rating_with_AI,ground_truth_with_AI,with_AI_seen_before,after_AI_ground_truth,after_AI_Real_Fake,confidence_rating_after_AI
0,578901354a84da00014c41cf,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,96
1,578901354a84da00014c41cf,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Fake,Fake,52
2,578901354a84da00014c41cf,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,100,FAKE,100,Fake,Yes,Real,Real,94
3,578901354a84da00014c41cf,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Fake,33
4,5980128635fbf100017d0861,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,88,REAL,88,Real,No,Fake,Fake,57
5,5980128635fbf100017d0861,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,66,FAKE,66,Fake,No,Fake,Fake,86
6,5980128635fbf100017d0861,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,87,FAKE,87,Fake,No,Real,Real,48
7,5980128635fbf100017d0861,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,89,REAL,89,Real,No,Real,Fake,68
8,5997043dbbe84800017964a7,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,No,Fake,Fake,100
9,5997043dbbe84800017964a7,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,REAL,34,REAL,34,Fake,No,Fake,Fake,61
10,5997043dbbe84800017964a7,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Real,Fake,68
11,5997043dbbe84800017964a7,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,100,FAKE,100,Fake,No,Real,Fake,87
12,59baf1a2178f1b0001828a26,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,75,REAL,75,Real,No,Fake,Fake,83
13,59baf1a2178f1b0001828a26,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,93,REAL,93,Real,No,Fake,Fake,73
14,59baf1a2178f1b0001828a26,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,98,FAKE,98,Fake,No,Real,Real,60
15,59baf1a2178f1b0001828a26,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,91,FAKE,91,Fake,No,Real,Fake,94
16,5af3c4e197a14300017d3f49,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,REAL,45,REAL,45,Fake,No,Fake,Fake,60
17,5af3c4e197a14300017d3f49,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,86,REAL,86,Real,No,Fake,Fake,92
18,5af3c4e197a14300017d3f49,2,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Real,Real,71
19,5af3c4e197a14300017d3f49,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,66,REAL,66,Real,Yes,Real,Fake,90
20,5b646a727c39ee00010a18b0,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,100,REAL,100,Fake,No,Fake,Real,34
21,5b646a727c39ee00010a18b0,2,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Fake,Fake,67
22,5b646a727c39ee00010a18b0,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Real,Real,77
23,5b646a727c39ee00010a18b0,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Real,Real,73
24,5bbb5e3f118c0600013c3202,2,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,52
25,5bbb5e3f118c0600013c3202,2,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,Yes,Fake,Fake,68
26,5bbb5e3f118c0600013c3202,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,93,REAL,93,Fake,No,Real,Fake,91
27,5bbb5e3f118c0600013c3202,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,100,REAL,100,Real,No,Real,Fake,68
28,5bc9206a66d04800015cf314,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,88,REAL,88,Real,No,Fake,Fake,52
29,5bc9206a66d04800015cf314,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,89,FAKE,89,Fake,No,Fake,Real,50
30,5bc9206a66d04800015cf314,2,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,97,FAKE,97,Fake,Yes,Real,Real,51
31,5bc9206a66d04800015cf314,2,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,95,REAL,95,Real,No,Real,Fake,51
32,5be8dab5d153f500019ab320,2,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",FAKE,47,FAKE,47,Real,No,Fake,Fake,100
33,5be8dab5d153f500019ab320,2,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,100
