participant_id,failed_att1,week
6740e1e09ca406ab781318cb,True,week 0
6792f9facbb387400c5b6119,True,week 0
65ee4106d4b632b7fb7a3f79,True,week 0
67c15dbceef604f366c06d00,True,week 0
66abf0c472f051b5e40cfbfd,True,week 0
671c1c699ca32031a83014e8,True,week 0
665bd302372cfba059fbdab7,True,week 0
66f75ca6c63db2214194b1cc,True,week 0
6669f4d73f6ea3be1d2b7eae,True,week 0
676491fbb0941bdbdd359b5c,True,week 0
663ece769c3a32475d274c94,True,week 0
65c18c789a79785086046517,True,week 0
5e916cb9e502b1498e8fc059,True,week 0
67659224c577c7e97b074f43,True,week 0
67d44b2ab82c80a7ce9ec9c7,False,week 0
60455b1578f6f36a3e8ea81c,True,week 0
6753746b1f8827e2bd586bf0,True,week 0
602fcd044ad77ad42ee9a829,True,week 0
6023f94d1951e70ae21770ec,True,week 0
5e35373e1ddb124e6c306747,True,week 0
669284eabea5b8c9655927da,True,week 0
66edea9d406f629b67ce30b8,True,week 0
676304145bbe20d1fd5d653c,True,week 0
6740fea68181e7a67e3741d3,True,week 0
657f06882ad79871ba4e7b10,True,week 0
67e1da8a432675c0e850e8d1,False,week 2
656330bce859fe9d4d59f7cd,False,week 2
64226a9ac7739618beeee60d,False,week 2
663d8f0edfd87b4c1f590b99,False,week 2
5e70636370147a63fecbdea3,False,week 2
66850d6815e2f00ae6f89a38,False,week 2
67c0c81d7a68441d6be8e944,False,week 2
67cf28a2280e7e75fbbacbff,False,week 2
6670e05a65d32df6fa3e7560,False,week 2
65eaee94a1826098aae0eb95,False,week 2
6784ea5cf89f784e621ac9fa,False,week 2
677fea44f0780e29406c0f6a,False,week 2
6410e0ba81f88046afa861ca,False,week 2
6409110921de1c850a685bf6,False,week 2
601e13b872774f263d64acac,False,week 4
6709224f70eacdb20761ae3c,False,week 4
5f0a686635f72917e94c7a63,False,week 4
5d8cef3c28e183001a335ab0,False,week 4
66850d6815e2f00ae6f89a38,False,week 4
65eaee94a1826098aae0eb95,False,week 4
671f12c5d2543b67c0f12e57,False,week 4
66d6376eb15526056851d558,False,week 4
67cf28a2280e7e75fbbacbff,False,week 4
5e9ffa9ee172201b04f1a4c6,False,week 4
67d29a840debd6b228515177,False,week 4
5c5198da659655000168955d,False,week 4
669284eabea5b8c9655927da,False,week 4
