participant_id,condition,week,imageid,time_point,accuracy,belief,confidence,ground_truth,seen,ai_usage,ai_image_usage,ai_literacy
5980128635fbf100017d0861,Critical Thinking,0,4,with,0,0,55,real,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,104,after,0,0,50,real,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,3,before,1,1,53,real,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,3,with,1,1,55,real,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,103,after,1,1,47,real,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,5,before,1,0,49,fake,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,5,with,1,0,57,fake,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,105,after,1,0,91,fake,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,0,before,1,0,77,fake,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,0,with,1,0,84,fake,False,0-2 hours a day,Once a week,5.833333333333333
5980128635fbf100017d0861,Critical Thinking,0,100,after,1,0,52,fake,False,0-2 hours a day,Once a week,5.833333333333333
5997043dbbe84800017964a7,Critical Thinking,0,11,before,1,0,60,fake,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,11,with,1,0,100,fake,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,111,after,1,0,100,fake,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,0,before,1,0,100,fake,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,0,with,1,0,100,fake,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,100,after,1,0,100,fake,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,2,before,0,0,100,real,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,2,with,0,0,100,real,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,102,after,0,0,70,real,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,4,before,1,1,49,real,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,4,with,1,1,100,real,False,Once a week,Never,5.666666666666667
5997043dbbe84800017964a7,Critical Thinking,0,104,after,1,1,60,real,False,Once a week,Never,5.666666666666667
59baf1a2178f1b0001828a26,Critical Thinking,0,4,before,1,1,62,real,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,4,with,0,0,81,real,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,104,after,0,0,38,real,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,3,before,1,1,39,real,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,3,with,0,0,83,real,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,103,after,1,1,52,real,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,11,before,1,0,82,fake,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,11,with,1,0,93,fake,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,111,after,1,0,89,fake,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,7,before,1,0,40,fake,False,0-2 hours a day,Rarely,5.833333333333333
59baf1a2178f1b0001828a26,Critical Thinking,0,7,with,1,0,77,fake,False,0-2 hours a day,Rarely,5.833333333333333
