Average_interactions,participant_id,Week
9.0,640415971520c41606ca4389,Week 0
9.0,640415971520c41606ca4389,Week 0
9.0,640415971520c41606ca4389,Week 0
10.0,647dde92d730823a9e5c7f0f,Week 0
10.0,647dde92d730823a9e5c7f0f,Week 0
10.0,647dde92d730823a9e5c7f0f,Week 0
10.0,647dde92d730823a9e5c7f0f,Week 0
8.0,65178713fd459dd31fbfb62b,Week 0
8.0,65178713fd459dd31fbfb62b,Week 0
8.0,65178713fd459dd31fbfb62b,Week 0
8.0,65178713fd459dd31fbfb62b,Week 0
11.0,651865050634b0ca55fc0d0d,Week 0
11.0,651865050634b0ca55fc0d0d,Week 0
11.0,651865050634b0ca55fc0d0d,Week 0
11.0,651865050634b0ca55fc0d0d,Week 0
8.0,6526ba5706ea8e4e5cafde48,Week 0
8.0,6526ba5706ea8e4e5cafde48,Week 0
8.0,6526ba5706ea8e4e5cafde48,Week 0
8.0,6526ba5706ea8e4e5cafde48,Week 0
2.0,65599c698363f734b0325aa2,Week 0
2.0,65599c698363f734b0325aa2,Week 0
2.0,65599c698363f734b0325aa2,Week 0
2.0,65599c698363f734b0325aa2,Week 0
8.0,6562421abbbe0dc4b89ad4ff,Week 0
8.0,6562421abbbe0dc4b89ad4ff,Week 0
8.0,6562421abbbe0dc4b89ad4ff,Week 0
8.0,6562421abbbe0dc4b89ad4ff,Week 0
8.0,65624dbc33b93e2696f06d1f,Week 0
8.0,65624dbc33b93e2696f06d1f,Week 0
8.0,65624dbc33b93e2696f06d1f,Week 0
8.0,65624dbc33b93e2696f06d1f,Week 0
10.0,65c18c789a79785086046517,Week 0
10.0,65c18c789a79785086046517,Week 0
10.0,65c18c789a79785086046517,Week 0
10.0,65c18c789a79785086046517,Week 0
10.0,65fb580ab7fbb2d518ee8eaa,Week 0
10.0,65fb580ab7fbb2d518ee8eaa,Week 0
10.0,65fb580ab7fbb2d518ee8eaa,Week 0
10.0,65fb580ab7fbb2d518ee8eaa,Week 0
9.0,6604610e7a4c3d8b8aa2309f,Week 0
9.0,6604610e7a4c3d8b8aa2309f,Week 0
9.0,6604610e7a4c3d8b8aa2309f,Week 0
9.0,6604610e7a4c3d8b8aa2309f,Week 0
8.0,660cda55786e37b1cbb49717,Week 0
8.0,660cda55786e37b1cbb49717,Week 0
8.0,660cda55786e37b1cbb49717,Week 0
8.0,660cda55786e37b1cbb49717,Week 0
9.0,66231fc6e1ecba676935943a,Week 0
9.0,66231fc6e1ecba676935943a,Week 0
9.0,66231fc6e1ecba676935943a,Week 0
9.0,66231fc6e1ecba676935943a,Week 0
8.0,66293ce3dba0764775195e58,Week 0
8.0,66293ce3dba0764775195e58,Week 0
8.0,66293ce3dba0764775195e58,Week 0
8.0,66293ce3dba0764775195e58,Week 0
10.0,66451cf935a985828f197f7e,Week 0
10.0,66451cf935a985828f197f7e,Week 0
10.0,66451cf935a985828f197f7e,Week 0
10.0,66451cf935a985828f197f7e,Week 0
6.0,664921b8a4c8fcf533571f7a,Week 0
6.0,664921b8a4c8fcf533571f7a,Week 0
6.0,664921b8a4c8fcf533571f7a,Week 0
6.0,664921b8a4c8fcf533571f7a,Week 0
8.0,6650a822a7a14d7179997510,Week 0
8.0,6650a822a7a14d7179997510,Week 0
8.0,6650a822a7a14d7179997510,Week 0
8.0,6650a822a7a14d7179997510,Week 0
10.0,6651193f302387e52405119a,Week 0
10.0,6651193f302387e52405119a,Week 0
10.0,6651193f302387e52405119a,Week 0
10.0,6651193f302387e52405119a,Week 0
4.0,66562875b665d8e2b1b6fc66,Week 0
4.0,66562875b665d8e2b1b6fc66,Week 0
4.0,66562875b665d8e2b1b6fc66,Week 0
4.0,66562875b665d8e2b1b6fc66,Week 0
10.0,666b4944d7f80b9099b5af20,Week 0
10.0,666b4944d7f80b9099b5af20,Week 0
10.0,666b4944d7f80b9099b5af20,Week 0
10.0,666b4944d7f80b9099b5af20,Week 0
4.0,666c7b666fa83d9dad4c6451,Week 0
4.0,666c7b666fa83d9dad4c6451,Week 0
4.0,666c7b666fa83d9dad4c6451,Week 0
4.0,666c7b666fa83d9dad4c6451,Week 0
8.0,667d81a95170bdd075f74203,Week 0
8.0,667d81a95170bdd075f74203,Week 0
8.0,667d81a95170bdd075f74203,Week 0
8.0,667d81a95170bdd075f74203,Week 0
9.0,66881fbe723bc57d75a2c268,Week 0
9.0,66881fbe723bc57d75a2c268,Week 0
9.0,66881fbe723bc57d75a2c268,Week 0
9.0,66881fbe723bc57d75a2c268,Week 0
4.0,668f8d7343028ae0faa7a907,Week 0
4.0,668f8d7343028ae0faa7a907,Week 0
4.0,668f8d7343028ae0faa7a907,Week 0
4.0,668f8d7343028ae0faa7a907,Week 0
10.0,66abf0c472f051b5e40cfbfd,Week 0
10.0,66abf0c472f051b5e40cfbfd,Week 0
10.0,66abf0c472f051b5e40cfbfd,Week 0
