week,contrast,estimate_pp,lower_pp,upper_pp,SE_pp,df,t.ratio,p.value
0,Δ(with−before),22.448979591836505,15.924162887745075,28.973796295927933,3.326786896290591,1781,6.747946379393102,2.0214799190914725e-11
0,Δ(after−before),2.9936278059834764,-5.205859603388079,11.193115215355032,4.180645757097231,1781,0.7160682774667942,0.47404306516499406
2,Δ(with−before),15.30612244897917,8.707170735709663,21.905074162248678,3.3645858703116325,1781,4.549184666094284,5.749010075177448e-6
2,Δ(after−before),-3.2094687218007434,-11.23040252448367,4.811465080882183,4.089607215180081,1781,-0.7847865462207765,0.43268310298713863
4,Δ(with−before),26.086956521738735,19.11180772017391,33.062105323303555,3.5563962460695855,1781,7.335222150953848,3.3458679640882497e-13
4,Δ(after−before),-6.503620235397495,-15.462610179582036,2.4553697087870474,4.567890823909751,1781,-1.4237687558895973,0.15468858706322186
