term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.8344377698608655,0.06849893084420992,12.18176341698914,7.57333279415127e-33,0.7000910316664077,0.9687845080553232
time_pointwith,0.22448979591836504,0.03849998503511684,5.8309060565504645,6.531439769574341e-9,0.14897989603734246,0.2999996957993876
time_pointafter,0.029936278059834766,0.03767162094462669,0.7946639223153666,0.42691490223501627,-0.04394895392895639,0.10382151004862591
week2,0.036015101436920244,0.03855719114119893,0.9340696345081416,0.3503945930246348,-0.03960699660051467,0.11163719947435516
week4,-0.06307040239075573,0.03803654209725047,-1.65815289490563,0.0974627063055294,-0.1376713530914881,0.011530548309976615
factor(participant_id)56b43607c54e3c000d3c9b0b,0.05555555555557772,0.08983329841527299,0.6184294302404514,0.5363713827113532,-0.12063421083347572,0.23174532194463118
factor(participant_id)57165ba7c5aca2000a8d32ca,-0.12342340293651673,0.091150028533229,-1.354068725184462,0.1758862353202143,-0.3021956679755436,0.055348862102510124
factor(participant_id)5c4f5967aac8be0001716a65,-0.08030211323720063,0.09422614984597141,-0.852227469428264,0.39420243607211736,-0.26510756535760405,0.10450333888320279
factor(participant_id)5caccbc4976d010014b9cd9d,-0.17960690189291295,0.0911502415413931,-1.9704489955887825,0.0489416123520661,-0.35837958470418385,-8.342190816420236e-4
factor(participant_id)5d07fc124e753800168ccafe,-0.003118618615107832,0.09115024356999278,-0.03421404587595091,0.9727103000375473,-0.18189130540506496,0.17565406817484927
factor(participant_id)5d20189bb34728001a230962,-0.21279674835758333,0.0933942177875054,-2.2784788330445447,0.0228160075158472,-0.3959705347413564,-0.029622961973810258
factor(participant_id)5deb341d35575a2547b1f85a,2.317639055043534e-14,0.08983329841527372,2.5799331605634136e-13,0.9999999999997942,-0.17618976638903172,0.17618976638907807
factor(participant_id)5e06ecd524f9390991997bb7,-0.03696196671094302,0.09047540157519803,-0.40853056264384,0.6829333103496686,-0.21441108801338155,0.14048715459149552
factor(participant_id)5e27727328b7b698b037ee6c,-0.07145568229581005,0.09185931938401083,-0.7778816866375317,0.4367420857824168,-0.25161907725554233,0.10870771266392222
factor(participant_id)5ec62902bb44c16b842128f9,-0.2384127362621802,0.09115024356999367,-2.615601746353038,0.0089822634549298,-0.41718542305213907,-0.059640049472221346
factor(participant_id)5f1b4845cbf55f3192e33b89,-0.09819718568723011,0.09705115931228497,-1.0118084769215123,0.3117670736186865,-0.2885433200123073,0.09214894863784708
factor(participant_id)5faefcc22be93b11829e84df,0.02627545104826206,0.09115024154139284,0.28826529259749617,0.7731772152963472,-0.15249723176300836,0.2050481338595325
factor(participant_id)601fd27860b197531ca7bdcc,-0.07545650105228385,0.09185931839872427,-0.8214354555164192,0.4115082177775732,-0.25561989407957664,0.10470689197500896
factor(participant_id)6287f4819c5fc8c4d48cc885,-0.06194214802687304,0.09115024356999138,-0.6795609709952078,0.49687079914575616,-0.2407148348168274,0.11683053876308133
factor(participant_id)628f9cfbee6de7cc7322fecf,-0.055555555555531586,0.0898332984152753,-0.6184294302399219,0.5363713827117018,-0.23174532194458958,0.12063421083352639
factor(participant_id)637545d6428d85daeedc3df5,-0.16666666666664437,0.0898332984152751,-1.8552882907203223,0.06372019628705744,-0.34285643305570196,0.00952309972241322
factor(participant_id)640415971520c41606ca4389,-0.0031363136576198153,0.09115024154139353,-0.03440817714339835,0.9725555186241746,-0.1819089964688916,0.17563636915365197
factor(participant_id)647dde92d730823a9e5c7f0f,-0.17810241721905148,0.09705115562120595,-1.8351395826154966,0.06665168994821045,-0.368448544304827,0.012243709866724017
