week,success,n,prop,ci_lo,ci_hi
0,167,216,0.7731481481481481,0.7128098833209908,0.8239405578059602
2,161,215,0.7488372093023256,0.686844880429771,0.8020935527931108
4,134,217,0.6175115207373272,0.5513375999278076,0.679597299127573
